"","Taxa","January","February","March","April","May","June","July","August","September","October","November","December","Total"
"720","Calephelis muticum",0,0,0,0,0,0,0,1,0,0,0,1,2
"721","Lasaia maria",0,0,1,0,0,1,1,1,3,0,3,2,13
"722","Theope virgilius",2,1,0,1,1,0,0,0,0,1,0,0,6
"723","Emesis vulpina",3,0,1,0,0,0,0,0,0,0,0,0,4
"724","Apodemia walkeri",1,2,1,3,2,0,1,0,5,2,6,1,24
"725","Calephelis perditalis",1,0,2,3,2,0,5,3,4,6,13,5,44
"726","Emesis aurimna",2,0,1,0,0,0,0,0,0,0,0,0,3
"727","Mesene croceella",0,0,0,0,0,0,0,0,0,1,0,0,1
"728","Emesis tegula",0,0,0,0,1,0,2,0,1,2,0,0,6
"729","Lasaia agesilas",0,1,1,2,0,0,3,0,0,1,0,3,11
"730","Calephelis rawsoni",1,0,0,0,0,0,0,0,1,1,0,0,3
"731","Sarota myrtea",0,0,0,0,0,0,0,0,0,1,0,0,1
"732","Mesosemia lamachus",0,0,2,2,0,0,0,0,1,1,2,1,9
"733","Juditha caucana",2,0,0,0,0,0,0,3,0,0,1,0,6
"734","Apodemia multiplaga",0,0,0,0,0,0,1,0,0,0,0,1,2
"735","Calephelis mexicana",0,1,1,1,1,0,0,0,0,0,0,1,5
"736","Mesosemia gemina",0,1,0,0,0,0,0,0,1,0,0,2,4
"737","Voltinia umbra",4,0,0,1,0,0,0,0,0,0,0,1,6
"738","Eurybia elvina",1,1,0,0,0,0,0,0,1,0,0,0,3
"739","Lasaia meris",0,0,0,0,1,0,0,0,0,0,0,0,1
"740","Caria stillaticia",0,0,0,0,1,0,0,0,1,0,0,0,2
"741","Sarota chrysus",0,0,0,0,1,0,1,0,0,0,0,1,3
"742","Apodemia mejicanus",0,0,1,1,3,0,0,1,1,1,0,0,8
"743","Calephelis wrighti",0,0,3,1,2,1,0,1,1,0,1,0,10
"744","Lasaia sessilis",0,0,0,0,0,0,2,0,0,0,0,0,2
"745","Emesis poeas",0,0,0,0,0,0,0,1,2,1,0,0,4
"746","Ancyluris jurgensenii",0,0,0,1,0,1,0,0,0,0,0,0,2
"747","Emesis ares",0,0,0,0,0,0,0,1,1,0,0,1,4
"748","Eurybia lycisca",0,0,0,0,0,0,0,0,2,0,0,1,3
"749","Adelotypa eudocia",0,0,0,0,0,0,1,1,0,0,0,0,2
"750","Juditha molpe",0,0,0,0,0,0,0,1,0,1,0,0,2
"751","Theope publius",1,0,0,0,0,0,0,0,0,0,0,0,1
"752","Hypophylla sudias",0,0,0,0,0,0,0,0,1,0,0,0,1
"753","Esthemopsis alicia",0,0,0,0,0,0,0,0,1,0,0,0,1
"754","Calephelis azteca",0,1,0,0,0,0,0,0,0,0,0,0,1
"755","Emesis saturata",0,1,0,0,0,0,0,0,0,0,0,0,1
"756","Behemothia godmanii",0,1,0,0,0,0,0,1,0,0,0,0,2
"757","Emesis mandana",0,0,1,0,0,0,0,0,0,0,0,0,1
"758","Apodemia hepburni",0,0,0,0,0,0,0,1,0,0,0,0,1
"759","Calephelis acapulcoensis",0,0,0,0,0,0,0,1,0,0,0,0,1
"760","Chalodeta chaonitis",0,0,0,0,0,0,0,1,0,0,0,0,1
